subject,domain,word,SIDNO
396,ANIMALS,Gazelle,31
396,ANIMALS,Rhino,31
396,ANIMALS,Bird,31
396,ANIMALS,Beetle,31
396,ANIMALS,Mongoose,31
396,ANIMALS,Platypus,31
396,ANIMALS,Kangaroo,31
396,ANIMALS,Buffalo,31
396,ANIMALS,Deer,31
396,ANIMALS,Turkey,31
396,ANIMALS,Mountain Lion,31
396,ANIMALS,Goat,31
396,ANIMALS,Moose,31
396,ANIMALS,Cow,31
396,ANIMALS,Horse,31
396,ANIMALS,Wildebeest,31
396,ANIMALS,Ram,31
396,ANIMALS,Sheep,31
396,ANIMALS,Llama,31
396,ANIMALS,Alpaca,31
396,ANIMALS,Rat,31
396,ANIMALS,Mouse,31
396,ANIMALS,Caribou,31
396,ANIMALS,Zebra,31
396,ANIMALS,Koala,31
396,ANIMALS,Yak,31
396,ANIMALS,Gerbil,31
396,ANIMALS,Walrus,31
396,ANIMALS,Hippo,31
396,ANIMALS,Tiger,31
396,ANIMALS,Bear,31
396,ANIMALS,Unicorn,31
397,ANIMALS,Mouse,32
397,ANIMALS,Dog,32
397,ANIMALS,Cat,32
397,ANIMALS,Fish,32
397,ANIMALS,Elephant,32
397,ANIMALS,Mammoth,32
397,ANIMALS,Cougar,32
397,ANIMALS,Wildcat,32
397,ANIMALS,Lion,32
397,ANIMALS,Tiger,32
397,ANIMALS,Jaguar,32
397,ANIMALS,Bear,32
397,ANIMALS,Rabbit,32
397,ANIMALS,Wolf,32
397,ANIMALS,Duck,32
397,ANIMALS,Eagle,32
397,ANIMALS,Goose,32
397,ANIMALS,Swan,32
397,ANIMALS,Bird,32
397,ANIMALS,Crow,32
397,ANIMALS,Hawk,32
397,ANIMALS,Owl,32
397,ANIMALS,Squirrel,32
397,ANIMALS,Giraffe,32
397,ANIMALS,Monkey,32
397,ANIMALS,Ape,32
397,ANIMALS,Whale,32
397,ANIMALS,Shark,32
397,ANIMALS,Dolphin,32
397,ANIMALS,Bunny,32
397,ANIMALS,Turtle,32
397,ANIMALS,Snake,32
397,ANIMALS,Turkey,32
397,ANIMALS,Chicken,32
397,ANIMALS,Rooster,32
397,ANIMALS,Hen,32
397,ANIMALS,Hamster,32
397,ANIMALS,Elk,32
397,ANIMALS,Deer,32
397,ANIMALS,Pigeon,32
474,ANIMALS,Bird,33
474,ANIMALS,Dog,33
474,ANIMALS,Cat,33
474,ANIMALS,Horse,33
474,ANIMALS,Cow,33
474,ANIMALS,Bird,33
474,ANIMALS,Pig,33
474,ANIMALS,Donkey,33
474,ANIMALS,Elephant,33
474,ANIMALS,Monkey,33
474,ANIMALS,Monkey,33
474,ANIMALS,Bear,33
474,ANIMALS,Gorilla,33
474,ANIMALS,Tiger,33
474,ANIMALS,Lion,33
474,ANIMALS,Rat,33
474,ANIMALS,Mouse,33
474,ANIMALS,Snake,33
474,ANIMALS,Lizard,33
474,ANIMALS,Frog,33
474,ANIMALS,Hamster,33
474,ANIMALS,Fish,33
474,ANIMALS,Guinea Pig,33
